id,sales_id,feature_id,location_id,bedrooms,squareFootage,bathrooms,lotSize,lastSalePrice,lastSaleDate,longitude,latitude
4716380880,95,19,154,5.0,4403.0,4.5,0.0,1698500.0,2024-03-18T00:00:00.000Z,-121.323552,38.783024
4716381360,2,108,155,4.0,3736.0,3.5,19602.0,0.0,Not available,-86.490334,34.834461
4716381744,2,109,156,3.0,1090.0,1.0,6839.0,0.0,Not available,-90.344793,38.679325
4716382128,96,110,157,5.0,3024.0,4.0,8115.0,590000.0,1989-07-21T00:00:00.000Z,-118.544512,34.045646
4716382416,2,111,158,0.0,0.0,0.0,7200.0,0.0,Not available,-81.687544,30.607949
4716382704,97,112,159,3.0,1705.0,3.0,11443.0,165000.0,2010-09-08T00:00:00.000Z,-84.193753,39.424164
4716382992,2,113,160,2.0,1560.0,2.0,8407.0,0.0,Not available,-122.047464,37.010012
4716383184,2,114,161,2.0,0.0,1.0,2614.0,0.0,Not available,-74.056427,40.751076
4716383568,98,115,162,2.0,1109.0,2.0,871.0,224990.0,2022-12-22T00:00:00.000Z,-81.343482,29.92761
4716383760,2,5,163,0.0,0.0,0.0,0.0,0.0,Not available,-78.625592,35.829065
4716384144,99,116,164,5.0,3369.0,3.0,22913.0,1520000.0,2016-08-22T00:00:00.000Z,-106.281527,39.627996
4716454320,2,117,165,5.0,2532.0,3.5,6098.0,0.0,Not available,-115.262734,36.214664
4716454512,2,5,166,0.0,0.0,0.0,0.0,0.0,Not available,-80.485582,25.44786
4716454896,100,118,167,3.0,1222.0,1.0,20038.0,80000.0,2013-06-07T00:00:00.000Z,-81.231312,35.386602
4716455088,2,5,168,0.0,0.0,0.0,0.0,0.0,Not available,-82.437961,42.973071
4716455472,101,119,169,0.0,2783.0,0.0,14723.0,167000.0,2001-06-04T00:00:00.000Z,-75.096429,39.71237
4716455856,102,120,170,3.0,1405.0,1.5,12400.0,123000.0,2013-07-31T00:00:00.000Z,-83.713942,41.720062
4716456144,2,121,171,3.0,960.0,1.0,8487.0,0.0,Not available,-95.749733,39.036742
4716456624,103,122,172,2.0,1320.0,1.5,2178.0,145447.0,2014-05-29T00:00:00.000Z,-79.976548,39.62922
4716457008,104,123,173,3.0,1000.0,1.0,8668.0,95000.0,2021-05-19T00:00:00.000Z,-89.937643,35.094537
4716434016,105,124,174,0.0,2155.0,2.0,0.0,205000.0,2017-04-05T00:00:00.000Z,-86.480995,34.648562
4716434240,2,5,175,0.0,0.0,0.0,0.0,0.0,Not available,-117.943358,34.086742
4716457296,106,19,176,3.0,1848.0,2.0,5876.0,0.0,2012-12-12T00:00:00.000Z,-96.09144,29.333753
4716457488,2,5,177,0.0,0.0,0.0,0.0,0.0,Not available,-71.12741,42.415267
4716457680,2,125,178,3.0,1588.0,2.5,16768.0,0.0,Not available,-87.712147,41.550596
4716544048,107,126,179,0.0,1276.0,1.0,7057.0,34900.0,1993-04-01T00:00:00.000Z,-87.261914,30.45657
4716544336,108,127,180,4.0,2233.0,3.0,8080.0,1430000.0,2021-06-22T00:00:00.000Z,-81.442746,24.651724
4716544816,109,128,181,3.0,1358.0,2.0,7330.0,0.0,2022-10-18T00:00:00.000Z,-100.78873,46.844644
4716545200,110,129,182,4.0,2760.0,3.5,6168.0,0.0,2013-09-04T00:00:00.000Z,-95.674629,30.003021
4716545392,111,35,183,0.0,0.0,0.0,110207.0,127000.0,2019-08-19T00:00:00.000Z,-82.067597,27.951723
4716545680,112,130,184,3.0,1248.0,1.5,13939.0,284500.0,2022-01-12T00:00:00.000Z,-82.651831,35.560186
4716546064,113,131,185,3.0,1310.0,2.0,12125.0,76000.0,2012-05-14T00:00:00.000Z,-81.465529,41.150501
4716546256,114,132,186,3.0,1547.0,2.0,8015.0,0.0,2018-10-10T00:00:00.000Z,-98.333226,29.543428
4716546544,115,133,187,3.0,2400.0,3.5,1307.0,312500.0,2015-06-19T00:00:00.000Z,-80.851773,35.494579
4716546736,2,5,188,0.0,0.0,0.0,0.0,0.0,Not available,-117.133258,33.019901
4716547120,116,134,189,3.0,1399.0,2.0,7182.0,88700.0,1992-09-01T00:00:00.000Z,-82.561178,28.068759
4716547312,2,5,190,0.0,0.0,0.0,0.0,0.0,Not available,-112.063144,33.530367
4716547504,2,24,191,3.0,1672.0,2.0,20038.0,0.0,Not available,-83.982887,35.85705
4716547984,117,135,192,3.0,1507.0,2.0,6094.0,0.0,2021-04-12T00:00:00.000Z,-97.382485,32.614927
4716626256,2,136,193,0.0,1568.0,0.0,43560.0,0.0,Not available,-80.933213,34.825837
4716630464,2,5,194,0.0,0.0,0.0,0.0,0.0,Not available,-81.414876,41.028604
4716626448,2,5,195,0.0,0.0,0.0,0.0,0.0,Not available,-80.78348,35.280844
4716626832,118,137,196,4.0,1552.0,1.5,110642.0,180000.0,2017-12-19T00:00:00.000Z,-76.017595,40.277482
4716627216,2,138,197,4.0,2444.0,3.5,12058.0,0.0,Not available,-94.835582,39.025085
4716434576,2,5,198,0.0,0.0,0.0,0.0,0.0,Not available,-87.546361,33.2433
4716627408,2,5,199,0.0,0.0,0.0,0.0,0.0,Not available,-111.880806,33.423598
4716627696,119,139,200,4.0,3340.0,2.5,13499.0,635000.0,2023-08-08T00:00:00.000Z,-93.768142,41.582562
4716627888,2,32,201,1.0,767.0,1.0,0.0,0.0,Not available,-121.480004,38.413624
4716633744,120,140,202,3.0,1872.0,3.0,0.0,251600.0,2018-05-03T00:00:00.000Z,-81.209787,28.662518
4716628560,121,141,203,3.0,1556.0,2.0,8276.0,71200.0,1997-05-05T00:00:00.000Z,-80.70331,28.375527
4716628848,122,142,204,2.0,986.0,2.0,7492.0,0.0,2020-12-08T00:00:00.000Z,-100.448179,31.509854
4716629136,123,143,205,4.0,2703.0,2.5,16988.0,0.0,2013-03-01T00:00:00.000Z,-93.282714,37.126007
4716629520,124,144,206,4.0,2612.0,3.5,26136.0,288000.0,2012-08-20T00:00:00.000Z,-83.791293,33.763745
4716629712,2,5,207,0.0,0.0,0.0,0.0,0.0,Not available,-121.560795,39.125997
4716704080,125,145,208,4.0,2877.0,3.0,7235.0,0.0,2016-06-15T00:00:00.000Z,-97.557545,30.478835
4716704272,2,5,209,0.0,0.0,0.0,0.0,0.0,Not available,-111.022512,32.302867
4716704656,2,146,210,3.0,1144.0,2.0,261796.0,0.0,Not available,-79.891353,36.166992
4716705040,126,147,211,3.0,3144.0,3.5,22782.0,480000.0,2021-08-09T00:00:00.000Z,-83.641282,42.642145
4716705424,127,148,212,6.0,3758.0,2.5,296208.0,0.0,2023-07-12T00:00:00.000Z,-97.765711,30.532661
4716705808,128,149,213,2.0,1004.0,1.0,620.0,125000.0,2023-04-18T00:00:00.000Z,-75.157334,39.929939
4716730208,2,5,214,0.0,0.0,0.0,0.0,0.0,Not available,-99.46741,27.526811
4716706000,2,5,215,0.0,0.0,0.0,0.0,0.0,Not available,-72.035208,42.079077
4716435136,2,5,216,0.0,0.0,0.0,0.0,0.0,Not available,-97.290611,32.866503
4716706288,2,150,217,0.0,862.0,0.0,103237.0,0.0,Not available,-73.807977,40.730068
4716730848,129,5,218,0.0,0.0,0.0,0.0,0.0,2013-04-01T00:00:00.000Z,-87.395215,41.288325
4716706480,130,24,219,2.0,1736.0,1.5,33106.0,79000.0,1996-10-01T00:00:00.000Z,-86.886837,37.405794
4716435360,131,69,220,1.0,674.0,1.0,0.0,212000.0,2020-11-17T00:00:00.000Z,-105.954982,35.649695
4716706864,132,151,221,8.0,3381.0,3.0,3125.0,239000.0,2006-03-31T00:00:00.000Z,-87.723411,41.859602
4716707056,2,152,222,1.0,0.0,1.0,0.0,0.0,Not available,-102.379948,31.846765
4716707344,2,153,223,2.0,1220.0,1.0,8320.0,0.0,Not available,-108.199786,36.739501
4716707728,133,154,224,3.0,1231.0,1.0,10454.0,165000.0,2015-05-13T00:00:00.000Z,-87.898562,41.527708
4716798288,134,155,225,0.0,2597.0,4.0,8962.0,285000.0,2017-05-01T00:00:00.000Z,-82.75471,28.200363
